Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
10/20/2020 14:53:30,Yes,98672,"Faith group or church, Extended family",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, no low income housing",no,Yes,6,"$30,000 to $44,999","Yes, a BIG problem!","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times","Yes, many times","Yes, a BIG problem!","Not enough income to purchase food, local store high priced","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation, no license testing school/","Yes, a BIG problem!","Unsure where to go or what services are available, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, mental health is a huge issue in Klickitat county",Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Neutral,Strongly Agree,,
10/23/2020 11:27:26,Yes,98672,Extended family,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,7,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, a BIG problem!",Cost of care is not affordable,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank",Neutral,Neutral,I have no suggestions at this time,
12/02/2020 14:42,Yes,98639,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, somewhat",Cost of rent or house payment,yes,Yes,5,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,"Second Hand Rose thrift store, Food Bank, COVID-19 Relief Fund",Strongly Agree,Strongly Agree,,
10/06/2020 21:10,Yes,98610,Close friends,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,3,"$45,000 to $64,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,"Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation",No,,Female,18-64 years old,White,"Second Hand Rose thrift store, Food Bank, COVID-19 Relief Fund",Neutral,Neutral,,
10/07/2020 09:25,Yes,98648,"Faith group or church, Community or civic volunteer group, 1748 Eagles Club",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters), lack of low income housing",yes,Yes,1,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours","Yes, many times",Sometimes,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,Native American/American Indian,"Second Hand Rose thrift store, Housing and Essential Needs (HEN), Food Bank",Strongly Agree,Strongly Agree,,
10/07/2020 09:32,Yes,98610,"Hobby groups (books clubs, art club, etc.)",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!",,yes,Sometimes,2,"Less than $15,000","Yes, a BIG problem!",,"Yes, many times","Yes, many times","Yes, a BIG problem!",,"Yes, a BIG problem!",,"Yes, a BIG problem!",,Female,18-64 years old,White,"Second Hand Rose thrift store, Housing and Essential Needs (HEN), Food Bank",Strongly Agree,Strongly Agree,,
10/28/2020 8:07:45,Yes,98648,"Faith group or church, Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,No,the only homeless in stevenson are those living off the grid by choice,no,Yes,2,"$100,000 or more",No,,No,No,No,n/a,No,n/a,No,n/a,gender is fluid according to the whim of the day,18-64 years old,mixed race,"Second Hand Rose thrift store, i donate and buy stuff there",Strongly Disagree,n/a - I have not been involved with WAGAP,Don't know who you are,
11/02/2020 11:21,Yes,98672,"Community or civic volunteer group, Close friends, immediate family",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,2,"$100,000 or more","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, somewhat","Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Female,18-64 years old,Jewish,"Second Hand Rose thrift store, I shop at the thrift store, I do not use vochers",Strongly Agree,Strongly Agree,,
10/05/2020 19:46,Yes,98648,"Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters), Vacation rental market has increased exponentially, causing a shortage in long-term housing for locals.",no,Yes,2,"$65,000 to $99,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",No,No,"Yes, a BIG problem!","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food, Most people are reliant on outside food sources and do not grow their own, nor do they know how to cook. ","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Language barrier (medical info hard to understand), Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation, Lack of trust between person and healthcare system",Female,18-64 years old,White,"Second Hand Rose thrift store, We donate food and household goods.",Strongly Agree,Strongly Agree,,
11/24/2020 16:15:16,Yes,98672,"Faith group or church, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities",Yes,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline","Yes, somewhat",Lack of adequate insurance,Female,18-64 years old,Hispanic/Latino/LatinX,Second Hand Roseí - tienda de segunda en Bingen,Neutral,Neutral,,yes
12/01/2020 12:29,Yes,98672,"Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Sometimes,5,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of gasoline, Unable to get a driverís license","Yes, a BIG problem!","Lack of adequate insurance, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,Second Hand Roseí - tienda de segunda en Bingen,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,,yes
10/06/2020 16:07,Yes,98672,"Faith group or church, Community or civic volunteer group, Ested es parte de un equipo de deportes o un club, Hobby groups (books clubs, art club, etc.), Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, ClimatizaciÛn o reparos (azotea, fundaciÛn, plomerÌa, etc.) necesidades, Not enough shelter space (domestic violence shelters, warming or homeless shelters), Se necesita mas refujios",Yes,Yes,4,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses,   Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)","Yes, many times",Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Language barrier (medical info hard to understand), No hay opciones suficientes para tratamiento de abuso de alcohol y drogas, No hay opciones suficientes para tratamiento de salud mental, Lack of transportation",Female,18-64 years old,Hispanic/Latino/LatinX,"Second Hand Roseí - tienda de segunda en Bingen, Food Bank",Agree,Agree,,yes
9/28/2020 7:59:12,Yes,98672,Extended family,I have housing and am NOT worried about losing it,No,,no,Yes,5,"$45,000 to $64,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses,   Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Unable to get a driverís license, Limited public transportation",No,,Female,18-64 years old,Hispanic/Latino/LatinX,"Second Hand Roseí - tienda de segunda en Bingen, Food Bank",Neutral,Agree,,yes
10/27/2020 15:35:34,Yes,98672,Close friends,"I have housing, but I AM WORRIED about losing it, Other living arrangement (hotel, etc)","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,5,"Less than $15,000","Yes, a BIG problem!","Wages are too low to cover monthly expenses,   Good paying jobs with benefits are hard to find, Lack of legal documents (green card, etc)",Sometimes,"Yes, many times","Yes, somewhat","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, somewhat","Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable, Language barrier (medical info hard to understand)",Female,18-64 years old,Hispanic/Latino/LatinX,"Second Hand Roseí - tienda de segunda en Bingen, Food Bank",Agree,Neutral,,yes
10/05/2020 20:54,Yes,98639,"Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy",yes,Sometimes,2,"$30,000 to $44,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food, No affordable grocery store nearby and nothing in our town.","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,Native American/American Indian,Unemployment.  Covid assistance ran out.,n/a - I have not been involved with WAGAP,n/a - I have not been involved with WAGAP,"Racism and lack of activities for youth/adolescence, and no grocery store.",
